,lat,lng,counts,duration,dur_per_user
428,55.727149963378906,37.65431594848633,350,17753,50
429,55.72720718383789,37.560951232910156,402,24170,60
430,55.72723388671875,37.637638092041016,919,61870,67
431,55.72727966308594,37.63615417480469,805,47503,59
432,55.727352142333984,37.56102752685547,1008,50785,50
433,55.72739028930664,37.6225700378418,2501,164156,65
434,55.72740173339844,37.65204620361328,590,30372,51
435,55.72743225097656,37.64460372924805,589,42862,72
436,55.72751998901367,37.68150329589844,1570,98278,62
437,55.727542877197266,37.58061981201172,3318,358332,107
438,55.7275505065918,37.580604553222656,4038,642871,159
439,55.72756576538086,37.630699157714844,3725,294669,79
440,55.72764587402344,37.614166259765625,1327,94288,71
441,55.72767639160156,37.61286163330078,1458,69807,47
442,55.72774887084961,37.622314453125,513,39028,76
443,55.72780227661133,37.63690185546875,3277,162737,49
444,55.72781753540039,37.63189697265625,832,50272,60
445,55.72783279418945,37.584720611572266,256,15188,59
446,55.727840423583984,37.58390808105469,1198,114319,95
447,55.727840423583984,37.58470153808594,555,102266,184
448,55.72785186767578,37.632080078125,934,55849,59
449,55.72785186767578,37.653385162353516,1051,73981,70
450,55.72787857055664,37.6531867980957,722,35145,48
451,55.72788619995117,37.58388900756836,2090,145981,69
452,55.727970123291016,37.560096740722656,1194,62442,52
453,55.72797393798828,37.60956954956055,1960,133566,68
454,55.72797775268555,37.56007766723633,1285,76268,59
455,55.72800827026367,37.65378952026367,1376,77941,56
456,55.72807693481445,37.631011962890625,716,41861,58
457,55.72810745239258,37.63104248046875,1270,75752,59
458,55.72810745239258,37.6385498046875,1548,113569,73
459,55.72810745239258,37.63856506347656,739,65753,88
460,55.7281379699707,37.61149215698242,1873,136127,72
461,55.72819519042969,37.584259033203125,181,12727,70
462,55.72819519042969,37.584293365478516,431,24244,56
463,55.72822952270508,37.622764587402344,9012,725899,80
464,55.728275299072266,37.62435531616211,1149,640018,557
465,55.7282829284668,37.62435531616211,1393,65684,47
466,55.72842025756836,37.63393783569336,730,51071,69
467,55.72843933105469,37.5635986328125,1700,116210,68
468,55.728450775146484,37.559791564941406,696,39023,56
469,55.728458404541016,37.55980682373047,293,22640,77
470,55.728492736816406,37.63412094116211,737,50188,68
471,55.728790283203125,37.58512878417969,1323,105560,79
472,55.72882080078125,37.62411117553711,2770,190203,68
473,55.72882843017578,37.62411117553711,1894,146984,77
474,55.72885513305664,37.564552307128906,2139,131235,61
475,55.72886657714844,37.56456756591797,2404,183624,76
476,55.72889709472656,37.55870819091797,478,27676,57
